timestamp,index,temperature.gpu,power.draw,memory.used,utilization.gpu
2026/04/29 08:32:06,card0,49.0,243.0,2530866324,0
2026/04/29 08:32:06,card1,45.0,240.0,2519093884,0
2026/04/29 08:32:06,card2,47.0,243.0,2534920743,0
2026/04/29 08:32:06,card3,48.0,248.0,2555651218,0
2026/04/29 08:32:06,card4,51.0,244.0,3829441616,0
2026/04/29 08:32:06,card5,50.0,247.0,3887818637,0
2026/04/29 08:32:06,card6,47.0,241.0,3900903663,0
2026/04/29 08:32:06,card7,49.0,242.0,3890556606,0
2026/04/29 08:32:06,,,,,
2026/04/29 08:32:09,card0,49.0,253.0,2530867826,0
2026/04/29 08:32:09,card1,45.0,248.0,2519095337,0
2026/04/29 08:32:09,card2,47.0,251.0,2534922210,0
2026/04/29 08:32:09,card3,48.0,256.0,2555652692,0
2026/04/29 08:32:09,card4,51.0,250.0,3829443063,0
2026/04/29 08:32:09,card5,50.0,256.0,3887819982,0
2026/04/29 08:32:09,card6,47.0,249.0,3900905065,0
2026/04/29 08:32:09,card7,49.0,250.0,3890558032,0
2026/04/29 08:32:09,,,,,
2026/04/29 08:32:11,card0,49.0,252.0,2530868821,0
2026/04/29 08:32:11,card1,45.0,248.0,2519096289,0
2026/04/29 08:32:11,card2,47.0,250.0,2534923229,0
2026/04/29 08:32:11,card3,48.0,256.0,2555653666,0
2026/04/29 08:32:11,card4,51.0,249.0,3829444005,0
2026/04/29 08:32:11,card5,50.0,256.0,3887820873,0
2026/04/29 08:32:11,card6,47.0,249.0,3900905967,0
2026/04/29 08:32:11,card7,49.0,250.0,3890558961,0
2026/04/29 08:32:11,,,,,
2026/04/29 08:32:13,card0,49.0,254.0,2530869520,0
2026/04/29 08:32:13,card1,46.0,250.0,2519096992,0
2026/04/29 08:32:13,card2,47.0,253.0,2534923935,0
2026/04/29 08:32:13,card3,48.0,258.0,2555654386,0
2026/04/29 08:32:13,card4,51.0,252.0,3829444713,0
2026/04/29 08:32:13,card5,50.0,258.0,3887821581,0
2026/04/29 08:32:13,card6,47.0,251.0,3900906678,0
2026/04/29 08:32:13,card7,49.0,253.0,3890559672,0
2026/04/29 08:32:13,,,,,
2026/04/29 08:32:15,card0,49.0,252.0,2530871151,0
2026/04/29 08:32:15,card1,46.0,248.0,2519098592,0
2026/04/29 08:32:15,card2,47.0,250.0,2534925609,0
2026/04/29 08:32:15,card3,48.0,256.0,2555656066,0
2026/04/29 08:32:15,card4,51.0,250.0,3829446427,0
2026/04/29 08:32:15,card5,50.0,256.0,3887823311,0
2026/04/29 08:32:15,card6,47.0,249.0,3900908306,0
2026/04/29 08:32:15,card7,49.0,250.0,3890561360,0
2026/04/29 08:32:15,,,,,
2026/04/29 08:32:17,card0,49.0,253.0,2530872704,0
2026/04/29 08:32:17,card1,46.0,249.0,2519100053,0
2026/04/29 08:32:17,card2,47.0,251.0,2534927145,0
2026/04/29 08:32:17,card3,48.0,257.0,2555657587,0
2026/04/29 08:32:17,card4,51.0,250.0,3829447893,0
2026/04/29 08:32:17,card5,50.0,256.0,3887824749,0
2026/04/29 08:32:17,card6,47.0,249.0,3900909715,0
2026/04/29 08:32:17,card7,49.0,251.0,3890562816,0
2026/04/29 08:32:17,,,,,
2026/04/29 08:32:19,card0,49.0,253.0,2530873732,0
2026/04/29 08:32:19,card1,46.0,248.0,2519101009,0
2026/04/29 08:32:19,card2,47.0,251.0,2534928162,0
2026/04/29 08:32:19,card3,48.0,284.0,2555658925,0
2026/04/29 08:32:19,card4,51.0,250.0,3829448873,0
2026/04/29 08:32:19,card5,50.0,256.0,3887825660,0
2026/04/29 08:32:19,card6,47.0,249.0,3900910624,0
2026/04/29 08:32:19,card7,49.0,250.0,3890563769,0
2026/04/29 08:32:19,,,,,
2026/04/29 08:32:21,card0,49.0,252.0,2530873732,0
2026/04/29 08:32:21,card1,46.0,248.0,2519101009,0
2026/04/29 08:32:21,card2,47.0,250.0,2534928162,0
2026/04/29 08:32:21,card3,48.0,299.0,2555661256,0
2026/04/29 08:32:21,card4,51.0,250.0,3829448873,0
2026/04/29 08:32:21,card5,50.0,256.0,3887825660,0
2026/04/29 08:32:21,card6,47.0,249.0,3900910624,0
2026/04/29 08:32:21,card7,49.0,250.0,3890563769,0
2026/04/29 08:32:21,,,,,
2026/04/29 08:32:23,card0,49.0,244.0,2530873732,0
2026/04/29 08:32:23,card1,46.0,240.0,2519101009,0
2026/04/29 08:32:23,card2,47.0,243.0,2534928162,0
2026/04/29 08:32:23,card3,48.0,299.0,2555662013,0
2026/04/29 08:32:23,card4,51.0,244.0,3829448873,0
2026/04/29 08:32:23,card5,50.0,247.0,3887825660,0
2026/04/29 08:32:23,card6,47.0,242.0,3900910624,0
2026/04/29 08:32:23,card7,49.0,242.0,3890563769,0
2026/04/29 08:32:23,,,,,
2026/04/29 08:32:26,card0,49.0,244.0,2530873732,0
2026/04/29 08:32:26,card1,46.0,240.0,2519101009,0
2026/04/29 08:32:26,card2,47.0,243.0,2534928162,0
2026/04/29 08:32:26,card3,48.0,299.0,2555666208,0
2026/04/29 08:32:26,card4,51.0,244.0,3829448873,0
2026/04/29 08:32:26,card5,50.0,247.0,3887825660,0
2026/04/29 08:32:26,card6,47.0,242.0,3900910624,0
2026/04/29 08:32:26,card7,49.0,242.0,3890563769,0
2026/04/29 08:32:26,,,,,
2026/04/29 08:32:28,card0,49.0,243.0,2530873732,0
2026/04/29 08:32:28,card1,45.0,240.0,2519101009,0
2026/04/29 08:32:28,card2,47.0,243.0,2534928162,0
2026/04/29 08:32:28,card3,48.0,299.0,2555666208,0
2026/04/29 08:32:28,card4,51.0,244.0,3829448873,0
2026/04/29 08:32:28,card5,50.0,247.0,3887825660,0
2026/04/29 08:32:28,card6,47.0,241.0,3900910624,0
2026/04/29 08:32:28,card7,49.0,242.0,3890563769,0
2026/04/29 08:32:28,,,,,
2026/04/29 08:32:30,card0,49.0,244.0,2530873732,0
2026/04/29 08:32:30,card1,45.0,240.0,2519101009,0
2026/04/29 08:32:30,card2,47.0,243.0,2534928162,0
2026/04/29 08:32:30,card3,48.0,299.0,2555671856,0
2026/04/29 08:32:30,card4,51.0,244.0,3829448873,0
2026/04/29 08:32:30,card5,50.0,247.0,3887825660,0
2026/04/29 08:32:30,card6,47.0,242.0,3900910624,0
2026/04/29 08:32:30,card7,49.0,242.0,3890563769,0
2026/04/29 08:32:30,,,,,
2026/04/29 08:32:32,card0,49.0,244.0,2530873732,0
2026/04/29 08:32:32,card1,45.0,240.0,2519101009,0
2026/04/29 08:32:32,card2,47.0,243.0,2534928162,0
2026/04/29 08:32:32,card3,48.0,299.0,2555676787,0
2026/04/29 08:32:32,card4,51.0,244.0,3829448873,0
2026/04/29 08:32:32,card5,50.0,247.0,3887825660,0
2026/04/29 08:32:32,card6,47.0,242.0,3900910624,0
2026/04/29 08:32:32,card7,49.0,243.0,3890563769,0
2026/04/29 08:32:32,,,,,
2026/04/29 08:32:34,card0,49.0,244.0,2530873732,0
2026/04/29 08:32:34,card1,45.0,240.0,2519101009,0
2026/04/29 08:32:34,card2,47.0,243.0,2534928162,0
2026/04/29 08:32:34,card3,48.0,319.0,2555679786,1
2026/04/29 08:32:34,card4,51.0,244.0,3829448873,0
2026/04/29 08:32:34,card5,50.0,247.0,3887825660,0
2026/04/29 08:32:34,card6,47.0,241.0,3900910624,0
2026/04/29 08:32:34,card7,49.0,242.0,3890563769,0
2026/04/29 08:32:34,,,,,
2026/04/29 08:32:36,card0,49.0,244.0,2530873732,0
2026/04/29 08:32:36,card1,46.0,240.0,2519101009,0
2026/04/29 08:32:36,card2,47.0,243.0,2534928162,0
2026/04/29 08:32:36,card3,48.0,299.0,2555679786,0
2026/04/29 08:32:36,card4,51.0,244.0,3829448873,0
2026/04/29 08:32:36,card5,50.0,247.0,3887825660,0
2026/04/29 08:32:36,card6,47.0,241.0,3900910624,0
2026/04/29 08:32:36,card7,49.0,242.0,3890563769,0
2026/04/29 08:32:36,,,,,
2026/04/29 08:32:38,card0,49.0,244.0,2530873732,0
2026/04/29 08:32:38,card1,46.0,240.0,2519101009,0
2026/04/29 08:32:38,card2,47.0,243.0,2534928162,0
2026/04/29 08:32:38,card3,48.0,299.0,2555684483,0
2026/04/29 08:32:38,card4,51.0,244.0,3829448873,0
2026/04/29 08:32:38,card5,50.0,247.0,3887825660,0
2026/04/29 08:32:38,card6,47.0,242.0,3900910624,0
2026/04/29 08:32:38,card7,49.0,243.0,3890563769,0
2026/04/29 08:32:38,,,,,
2026/04/29 08:32:40,card0,49.0,244.0,2530873732,0
2026/04/29 08:32:40,card1,46.0,240.0,2519101009,0
2026/04/29 08:32:40,card2,47.0,243.0,2534928162,0
2026/04/29 08:32:40,card3,48.0,299.0,2555684483,0
2026/04/29 08:32:40,card4,51.0,244.0,3829448873,0
2026/04/29 08:32:40,card5,50.0,247.0,3887825660,0
2026/04/29 08:32:40,card6,47.0,241.0,3900910624,0
2026/04/29 08:32:40,card7,49.0,243.0,3890563769,0
